t,symbol,r
1705967,Japan 225,-1.0695674428640007
1705968,Germany 40,-1.020252821701415
1705971,Japan 225,2.9304325571359464
1705981,Japan 225,0.4349894330666604
1705993,Germany 40,2.979747178298495
1705993,France 40,-1.0848672108349713
1705994,UK 100,-1.0708175699054143
1705997,UK 100,2.929182430094565
1705997,US Tech 100,-1.0243547327931624
1705997,US Small Cap 2000,-1.0580553351077233
1705998,Japan 225,-1.069567442864013
1705998,Wall Street 30,-1.032649761083862
1705998,Germany 40,0.16699853154332409
1705998,France 40,0.0968439933023991
1706001,US Small Cap 2000,0.36747573082808294
1706009,Wall Street 30,-1.0326497610838177
1706011,US Tech 100,2.975645267206978
1706016,US SP 500,-1.0546069426445634
1706018,Germany 40,-1.020252821701358
1706020,Wall Street 30,2.967350238916186
1706020,US Small Cap 2000,-1.0580553351077033
1706020,US Tech 100,0.9109601919360495
1706023,US Small Cap 2000,1.5803560198053075
1706026,Wall Street 30,-1.0326497610838736
1706026,US SP 500,-1.0546069426446052
1706027,UK 100,-0.9251199449554387
1706040,US SP 500,2.9453930573554032
1706051,Germany 40,0.8485238730053536
1706054,Japan 225,-1.0695674428639579
1706061,Japan 225,1.9993568426618806
1706066,Germany 40,1.0835898097029553
1706079,US Tech 100,2.97564526720703
1706083,Germany 40,-1.020252821701451
1706087,Japan 225,-1.0695674428640622
1706088,US Tech 100,-0.7739710608898983
1706089,US Small Cap 2000,-1.0580553351076287
1706095,Wall Street 30,2.967350238916406
1706101,US Small Cap 2000,-1.0580553351076656
1706101,US SP 500,-1.0546069426445184
1706102,Wall Street 30,-1.0326497610837528
1706106,UK 100,0.012186788656150445
1706107,US Small Cap 2000,-1.0580553351076867
1706107,Wall Street 30,-1.032649761083848
1706111,US Small Cap 2000,0.5069177865588009
1706112,Wall Street 30,-1.0326497610837733
1706116,US Tech 100,-1.024354732793072
1706123,US Tech 100,2.031962821806967
1706130,US SP 500,-0.09232353244601851
1706146,Japan 225,-1.0695674428640203
1706163,UK 100,-1.070817569905564
1706167,France 40,-1.0848672108349346
1706170,Germany 40,-1.0202528217014766
1706170,US Small Cap 2000,-1.0580553351076898
1706170,UK 100,-1.0708175699054996
1706182,Wall Street 30,-1.0326497610837533
1706184,US Tech 100,-1.0243547327930915
1706187,Wall Street 30,-1.0326497610837073
1706190,Wall Street 30,2.9673502389161865
1706190,US Tech 100,-1.0243547327930773
1706190,US Small Cap 2000,2.94194466489233
1706190,US SP 500,2.9453930573553806
1706191,UK 100,-1.0708175699054647
1706209,US Tech 100,-1.0243547327930216
1706217,US SP 500,-1.0546069426446738
1706224,Japan 225,2.9304325571359477
1706226,UK 100,-1.070817569905499
1706234,UK 100,-1.0708175699054587
1706243,US Small Cap 2000,0.33277238769427814
1706250,Germany 40,-1.0202528217012756
1706251,UK 100,-1.0708175699054685
1706253,Germany 40,-1.020252821701462
1706256,France 40,2.915132789165027
1706258,UK 100,2.929182430094558
1706271,US Tech 100,-1.024354732792951
1706271,Wall Street 30,-1.0326497610836618
1706291,US SP 500,-1.0546069426446143
1706292,Japan 225,-1.0695674428639859
1706293,Wall Street 30,-1.032649761083723
1706293,US Tech 100,0.36064162513647924
1706305,Japan 225,-1.0695674428639625
1706485,Germany 40,-1.0202528217013551
1706491,US SP 500,0.4794468819131464
1706492,Japan 225,1.3290224718313777
1706492,US Tech 100,0.5113289547179877
1706505,Japan 225,1.068140278780516
1706512,France 40,2.9151327891651224
1706513,Wall Street 30,-1.0326497610838956
1706517,US Small Cap 2000,2.9419446648923486
1706519,Germany 40,-0.6512734548763748
1706520,Wall Street 30,-1.0326497610836343
1706521,US Small Cap 2000,-1.0580553351076796
1706521,US SP 500,-1.054606942644658
1706535,US SP 500,-1.0546069426447937
1706538,US Small Cap 2000,-1.0580553351076831
1706538,Germany 40,1.8690085398507295
1706539,Wall Street 30,-1.032649761083743
1706539,US SP 500,-1.0546069426445719
1706539,France 40,0.5839323937892087
1706548,US Tech 100,1.947646665851311
1706559,Germany 40,-1.0202528217015405
1706559,US Small Cap 2000,0.7357403174340802
1706559,US Tech 100,1.7152840335173885
1706559,US SP 500,1.070652024708765
1706559,France 40,-1.0848672108350206
1706559,UK 100,0.1423202790185221
1706559,Wall Street 30,0.19236764362992104
1706561,Japan 225,-1.0695674428640067
1706570,Japan 225,-1.0695674428639437
1706574,Japan 225,0.45194237542848414
1706577,UK 100,0.43553983559215104
1706596,Germany 40,-1.0202528217012872
1706598,US Tech 100,-1.0243547327931612
1706598,US SP 500,-1.0546069426446443
1706598,UK 100,-1.0708175699055238
1706599,France 40,-1.0848672108349535
1706599,Japan 225,-0.04142916596536531
1706600,Germany 40,-1.0202528217012918
1706602,Wall Street 30,0.8279798604690047
1706604,US Tech 100,-1.0243547327931384
1706604,Germany 40,0.3137379136520489
1706621,US Tech 100,-1.0243547327930724
1706622,US Small Cap 2000,2.9419446648923464
1706625,US SP 500,-1.0546069426447733
1706625,Wall Street 30,-1.0326497610839138
1706633,Wall Street 30,2.1122851056509275
1706633,US SP 500,-1.0546069426445444
1706635,US Tech 100,0.15630654903424612
1706651,Japan 225,-1.0695674428639352
1706656,US SP 500,-0.06626810831956342
1706656,UK 100,-1.0708175699053981
1706656,Germany 40,-1.0202528217014257
1706656,US Tech 100,0.31983167700386583
1706661,UK 100,0.48229854835045494
1706663,Japan 225,-1.0695674428639808
1706687,Wall Street 30,2.9673502389159947
1706688,UK 100,-1.0708175699054394
1706688,US Tech 100,-1.024354732792925
1706688,US SP 500,-1.054606942644552
1706689,Wall Street 30,-1.0326497610836263
1706690,UK 100,-0.4563353782577632
1706692,US Tech 100,-0.7614554655494187
1706694,Germany 40,-1.0202528217014564
1706694,Wall Street 30,-1.0326497610836374
1706702,US Tech 100,2.9756452672069837
1706708,US Small Cap 2000,2.9419446648923038
1706711,US Tech 100,2.975645267206987
1706715,UK 100,2.929182430094511
1706718,US Small Cap 2000,-1.0580553351076674
1706719,UK 100,-0.01089230157114778
1706723,US Small Cap 2000,-1.0580553351076598
1706727,Wall Street 30,-1.03264976108379
1706728,US SP 500,-1.0546069426446245
1706729,US Tech 100,-1.02435473279301
1706729,US Small Cap 2000,-1.0580553351076787
1706733,Germany 40,-0.21957251652805715
1706733,Wall Street 30,0.5433471690988952
1706769,US Tech 100,-1.0243547327929248
1706769,UK 100,-1.0708175699053954
1706769,Germany 40,2.9797471782986085
1706771,France 40,-1.0848672108349624
1706771,US Small Cap 2000,-1.0580553351076478
1706771,Wall Street 30,-1.0326497610837688
1706774,UK 100,2.929182430094537
1706775,US SP 500,1.3083959763416055
1706775,Germany 40,0.33296321844440324
1706776,US Small Cap 2000,2.6965842877955173
1706776,Wall Street 30,0.9431509144732427
1706778,UK 100,0.9487725517308475
1706787,US Small Cap 2000,-1.058055335107723
1706789,Japan 225,-1.069567442864023
1706793,Wall Street 30,-1.032649761083643
1706794,Japan 225,-1.069567442863988
1706795,US Small Cap 2000,-1.0580553351076563
1706798,US Small Cap 2000,2.9419446648923255
1706800,Japan 225,-1.0695674428639728
1706800,Wall Street 30,-1.0326497610837326
1706803,Japan 225,-1.0695674428640405
1706806,US Tech 100,0.7217007273914129
1706806,Germany 40,0.9596253515477989
1706808,France 40,1.5165567409370304
1706808,US SP 500,2.945393057355325
1706809,Wall Street 30,1.213430484401195
1706809,Japan 225,1.5310872263082143
1706809,US Small Cap 2000,1.6466417194724778
1706823,US SP 500,0.08610453381859084
1706823,France 40,0.3879390702995044
1706837,Japan 225,-1.069567442864031
1706839,UK 100,0.060709418056683326
1706859,France 40,-1.084867210834919
1706860,US SP 500,-1.0546069426446407
1706860,US Tech 100,-1.0243547327931435
1706860,UK 100,-1.0708175699055227
1706864,US Tech 100,-1.0243547327931286
1706870,UK 100,-1.070817569905405
1706875,Wall Street 30,-1.0326497610838004
1706876,US SP 500,-1.0546069426445486
1706881,Wall Street 30,-1.032649761083775
1706881,US SP 500,-1.0546069426446376
1706881,US Tech 100,-1.0243547327930906
1706883,US Small Cap 2000,-1.058055335107693
1706886,US Tech 100,2.975645267207012
1706886,US SP 500,2.94539305735529
1706887,Japan 225,1.4068414756426708
1706889,Wall Street 30,2.9673502389162487
1706890,US Small Cap 2000,-1.05805533510768
1706903,Wall Street 30,-1.032649761083806
1707093,Japan 225,-1.069567442864022
1707095,Germany 40,1.3950262613764821
1707095,France 40,0.4400099214299447
1707114,Germany 40,2.9797471782986884
1707114,France 40,-1.0848672108349227
1707120,UK 100,-1.0708175699054812
1707124,US Small Cap 2000,0.2808798804725461
1707124,France 40,-1.0848672108349926
1707124,Wall Street 30,-1.0326497610839167
1707124,UK 100,-1.0708175699054925
1707126,US Tech 100,-1.0243547327929248
1707126,US SP 500,-1.0546069426447102
1707133,Wall Street 30,-1.0326497610836622
1707138,France 40,2.9151327891650074
1707139,Japan 225,2.9304325571359686
1707140,US SP 500,-1.054606942644569
1707140,US Small Cap 2000,2.941944664892331
1707140,Wall Street 30,-1.0326497610838201
1707145,US Small Cap 2000,-1.058055335107659
1707147,France 40,-1.0848672108349868
1707147,US SP 500,-1.0546069426447076
1707147,US Tech 100,-1.0243547327930849
1707147,Wall Street 30,-1.0326497610837857
1707147,Japan 225,-1.069567442863963
1707152,US SP 500,1.6575847164562056
1707154,US Tech 100,1.4850129666304852
1707154,US Small Cap 2000,2.1497287810473655
1707161,US SP 500,-1.0546069426445934
1707168,US Small Cap 2000,-0.03947309943518616
1707178,Japan 225,1.1411713044083172
1707186,Germany 40,0.32012960415008324
