t,symbol,r
1705967100,Japan 225,-1.0695674428640007
1705968900,Germany 40,-1.020252821701415
1705971600,Japan 225,2.9304325571359464
1705981500,Japan 225,0.4349894330666604
1705993200,Germany 40,2.979747178298495
1705997700,US Tech 100,-1.0243547327931624
1705998600,Japan 225,-1.069567442864013
1705998600,Wall Street 30,-1.032649761083862
1705998600,Germany 40,0.16699853154332409
1705998600,France 40,0.0968439933023991
1706001300,US Small Cap 2000,0.36747573082808294
1706009400,Wall Street 30,-1.0326497610838177
1706018400,Germany 40,-1.020252821701358
1706020200,Wall Street 30,2.967350238916186
1706020200,US Tech 100,0.9109601919360495
1706026500,US SP 500,-1.0546069426446052
1706027400,UK 100,-0.9251199449554387
1706040000,US SP 500,2.9453930573554032
1706054400,Japan 225,-1.0695674428639579
1706083200,Germany 40,-1.020252821701451
1706088600,US Tech 100,-0.7739710608898983
1706089500,US Small Cap 2000,-1.0580553351076287
1706095800,Wall Street 30,2.967350238916406
1706101200,US Small Cap 2000,-1.0580553351076656
1706101200,US SP 500,-1.0546069426445184
1706106600,UK 100,0.012186788656150445
1706107500,Wall Street 30,-1.032649761083848
1706111100,US Small Cap 2000,0.5069177865588009
1706112900,Wall Street 30,-1.0326497610837733
1706116500,US Tech 100,-1.024354732793072
1706123700,US Tech 100,2.031962821806967
1706130000,US SP 500,-0.09232353244601851
1706170500,Germany 40,-1.0202528217014766
1706170500,US Small Cap 2000,-1.0580553351076898
1706182200,Wall Street 30,-1.0326497610837533
1706184000,US Tech 100,-1.0243547327930915
1706190300,Wall Street 30,2.9673502389161865
1706190300,US Tech 100,-1.0243547327930773
1706190300,US Small Cap 2000,2.94194466489233
1706190300,US SP 500,2.9453930573553806
1706209200,US Tech 100,-1.0243547327930216
1706234400,UK 100,-1.0708175699054587
1706250600,Germany 40,-1.0202528217012756
1706256000,France 40,2.915132789165027
1706291100,US SP 500,-1.0546069426446143
1706505300,Japan 225,1.068140278780516
1706512500,France 40,2.9151327891651224
1706519700,Germany 40,-0.6512734548763748
1706521500,US SP 500,-1.054606942644658
1706538600,US Small Cap 2000,-1.0580553351076831
1706539500,Wall Street 30,-1.032649761083743
1706539500,US SP 500,-1.0546069426445719
1706548500,US Tech 100,1.947646665851311
1706559300,Germany 40,-1.0202528217015405
1706559300,US Small Cap 2000,0.7357403174340802
1706559300,US Tech 100,1.7152840335173885
1706559300,US SP 500,1.070652024708765
1706559300,France 40,-1.0848672108350206
1706559300,UK 100,0.1423202790185221
1706559300,Wall Street 30,0.19236764362992104
1706598000,US Tech 100,-1.0243547327931612
1706598900,UK 100,-1.0708175699055238
1706599800,France 40,-1.0848672108349535
1706600700,Germany 40,-1.0202528217012918
1706604300,Germany 40,0.3137379136520489
1706622300,US Small Cap 2000,2.9419446648923464
1706625000,US SP 500,-1.0546069426447733
1706625000,Wall Street 30,-1.0326497610839138
1706633100,Wall Street 30,2.1122851056509275
1706633100,US SP 500,-1.0546069426445444
1706635800,US Tech 100,0.15630654903424612
1706651100,Japan 225,-1.0695674428639352
1706687100,Wall Street 30,2.9673502389159947
1706688000,UK 100,-1.0708175699054394
1706688900,US SP 500,-1.054606942644552
1706690700,UK 100,-0.4563353782577632
1706692500,US Tech 100,-0.7614554655494187
1706694300,Germany 40,-1.0202528217014564
1706715000,UK 100,2.929182430094511
1706719500,UK 100,-0.01089230157114778
1706727600,Wall Street 30,-1.03264976108379
1706728500,US SP 500,-1.0546069426446245
1706729400,US Small Cap 2000,-1.0580553351076787
1706733000,Germany 40,-0.21957251652805715
1706769900,UK 100,-1.0708175699053954
1706769900,Germany 40,2.9797471782986085
1706771700,France 40,-1.0848672108349624
1706774400,UK 100,2.929182430094537
1706776200,US Small Cap 2000,2.6965842877955173
1706776200,Wall Street 30,0.9431509144732427
1706789700,Japan 225,-1.069567442864023
1706793300,Wall Street 30,-1.032649761083643
1706794200,Japan 225,-1.069567442863988
1706798700,US Small Cap 2000,2.9419446648923255
1706803200,Japan 225,-1.0695674428640405
1706806800,US Tech 100,0.7217007273914129
1706809500,Wall Street 30,1.213430484401195
1706809500,Japan 225,1.5310872263082143
1706809500,US Small Cap 2000,1.6466417194724778
1706823900,US SP 500,0.08610453381859084
1706823900,France 40,0.3879390702995044
1706839200,UK 100,0.060709418056683326
1706859000,France 40,-1.084867210834919
1706860800,UK 100,-1.0708175699055227
1706864400,US Tech 100,-1.0243547327931286
1706876100,US SP 500,-1.0546069426445486
1706881500,Wall Street 30,-1.032649761083775
1706881500,US SP 500,-1.0546069426446376
1706881500,US Tech 100,-1.0243547327930906
1706883300,US Small Cap 2000,-1.058055335107693
1706886000,US Tech 100,2.975645267207012
1706886900,US SP 500,2.94539305735529
1707093900,Japan 225,-1.069567442864022
1707120000,UK 100,-1.0708175699054812
1707124500,US Small Cap 2000,0.2808798804725461
1707124500,France 40,-1.0848672108349926
1707124500,Wall Street 30,-1.0326497610839167
1707124500,UK 100,-1.0708175699054925
1707126300,US Tech 100,-1.0243547327929248
1707126300,US SP 500,-1.0546069426447102
1707133500,Wall Street 30,-1.0326497610836622
1707140700,US SP 500,-1.054606942644569
1707140700,US Small Cap 2000,2.941944664892331
1707140700,Wall Street 30,-1.0326497610838201
1707145200,US Small Cap 2000,-1.058055335107659
1707147000,Japan 225,-1.069567442863963
1707154200,US Tech 100,1.4850129666304852
1707154200,US Small Cap 2000,2.1497287810473655
1707178500,Japan 225,1.1411713044083172
1707202800,France 40,2.9151327891650647
1707205500,Germany 40,-1.0202528217015088
1707206400,UK 100,-1.0708175699055023
1707208200,Germany 40,1.1422147575224417
1707214500,US Small Cap 2000,0.4051921901329633
1707214500,Wall Street 30,-1.0326497610838188
