close_time,symbol,dir,entry,exit,risk_px,realized_R,mfe_R,mae_R,spread_atr_entry,bars,exit_reason,profit
2026.07.10 04:39:02,US100.cash,SELL,29643.22000,29677.88000,34.35357,-1.009,1.116,-0.997,0.0240,3,SL,-504.30
2026.07.10 11:16:17,BTCUSD,SELL,63909.00000,64077.21000,142.74500,-1.178,0.168,-1.108,0.0035,4,SL,-657.84
2026.07.10 11:30:00,US100.cash,SELL,29596.12000,29558.58000,29.11429,1.289,2.158,-0.868,0.0318,8,EA_time,641.18
2026.07.10 14:16:46,BTCUSD,BUY,64304.58000,64433.02000,148.80214,0.863,1.159,-0.408,0.0034,5,EA_time,359.05
2026.07.10 17:19:44,US30.cash,SELL,52481.58000,52548.42000,67.21357,-0.994,0.067,-0.989,0.0156,0,SL,-495.28
2026.07.13 03:33:18,US100.cash,BUY,29772.38000,29723.73000,52.58118,-0.925,0.497,-0.946,0.0185,1,SL,-274.87
2026.07.13 07:03:28,JP225.cash,SELL,67607.00000,67017.00000,291.92309,1.516,1.987,-0.796,0.0171,7,TP,449.35
