symbol,group,bars_used,med_spread,med_atr,spread_atr_side,comm_atr_side,cost_atr_side,pass
CORN.c,Agriculture,19978,0.96,0.596429,0.8096,4.1916,5.0013,False
SBUX,Equities I CFD,2978,0.09,0.462857,0.0987,5.4012,5.5,False
BABA,Equities I CFD,19983,0.03,0.402143,0.0538,6.2167,6.2705,False
CSCO,Equities I CFD,2978,0.09,0.395,0.1121,6.3291,6.4412,False
DIS,Equities I CFD,2978,0.09,0.384286,0.1167,6.5056,6.6222,False
GM,Equities I CFD,3320,0.09,0.376429,0.1182,6.6414,6.7596,False
NFLX,Equities I CFD,14915,0.03,0.365714,0.0359,6.8359,6.8718,False
ZM,Equities I CFD,19983,0.03,0.355714,0.0581,7.0281,7.0862,False
VOWG_p,Equities II CFD,19972,0.24,0.305,0.3757,7.1715,7.5473,False
BMW,Equities II CFD,3967,0.03,0.291429,0.0517,7.5055,7.5572,False
TTE,Equities II CFD,3965,0.02,0.235714,0.0422,9.2795,9.3217,False
WMT,Equities I CFD,15514,0.1,0.264286,0.1111,9.4595,9.5706,False
NKE,Equities I CFD,2978,0.09,0.2325,0.1921,10.7527,10.9448,False
KO,Equities I CFD,2978,0.09,0.232143,0.1921,10.7692,10.9613,False
MBG,Equities II CFD,3967,0.02,0.197857,0.0505,11.0551,11.1056,False
GME,Equities I CFD,2978,0.09,0.144286,0.3103,17.3267,17.6371,False
BAC,Equities I CFD,19983,0.03,0.132143,0.1535,18.9189,19.0724,False
BAYGn,Equities II CFD,19962,0.04,0.107857,0.0966,20.2798,20.3764,False
COTTON.c,Agriculture,19979,0.35,0.109286,1.7014,22.8758,24.5772,False
DBKGn,Equities II CFD,19968,0.04,0.080714,0.1013,27.0996,27.2008,False
PFE,Equities I CFD,19984,0.03,0.090714,0.2059,27.5591,27.7649,False
T,Equities I CFD,19984,0.03,0.065,0.3483,38.4615,38.8098,False
AIRF,Equities II CFD,19972,0.04,0.052143,0.2258,41.9486,42.1745,False
SUGAR.c,Agriculture,15076,0.11,0.055,1.0845,45.4545,46.5391,False
SAN,Equities II CFD,3778,0.01,0.041429,0.1186,52.7974,52.9161,False
IBE,Equities II CFD,19487,0.02,0.033571,0.3256,65.1543,65.4799,False
